Winner,Loser(s),Game,Genres,Episode-Id,Notes
Jon,Arin,Kirby Air Ride,Racing,rtZ6DSJ2faY,
Arin,Jon,Kirby Air Ride,Racing,rtZ6DSJ2faY,
Arin,Jon,Mario Golf: Toadstool Tour,Sports,pnyZVNcPoLE,
Arin,Danny,Mario Golf: Toadstool Tour,Sports,myV7mhLSUfo,
Tie (Arin; Danny),,Mario Golf: Toadstool Tour,Sports,wRPKjKG4KKo,
Arin,Danny,Mario Golf: Toadstool Tour,Sports,1JHX8B8m5p8,
Jon,Arin,Goldeneye 007,FPS,2liTFdfBJu0,
Jon,Arin,Family Feud,Trivia; Gameshow,4MIh40E8Trk,
Danny,Arin,Family Feud,Trivia; Gameshow,434GxUbNrkM,
Danny,Arin,Family Feud,Trivia; Gameshow,Un66DxN3pAA,
Jon,Arin,Teenage Mutant Ninja Turtles: Tournament Fighters,Fighting,qXj7E6dFPwo,Jon is player 1
Jon,Arin,Teenage Mutant Ninja Turtles: Tournament Fighters,Fighting,qXj7E6dFPwo,
Arin,Jon,Teenage Mutant Ninja Turtles: Tournament Fighters,Fighting,qXj7E6dFPwo,
Jon,Arin,Teenage Mutant Ninja Turtles: Tournament Fighters,Fighting,qXj7E6dFPwo,
AI (Jon),Jon; Arin,Snowboard Kids 2,Racing,faH6HPEiCaw,Jon is player 1
AI (Arin),Arin; Jon,Snowboard Kids 2,Racing,faH6HPEiCaw,Jon was easily winning but lost trying to drift into the finish
AI (Jon),Jon; Arin,Snowboard Kids 2,Racing,faH6HPEiCaw,
Arin,Jon,Clayfighter 63⅓,Fighting,dJoDPAaM1KM,Arin is player 2
Arin,Jon,Clayfighter 63⅓,Fighting,dJoDPAaM1KM,
Arin,Jon,Clayfighter 63⅓,Fighting,dJoDPAaM1KM,
Arin,Jon,Clayfighter 63⅓,Fighting,dJoDPAaM1KM,
Jon,Arin,Clayfighter 63⅓,Fighting,dJoDPAaM1KM,
Arin,Jon,Pokémon Stadium,,naO4xBIbzeg,
AI (Arin),Arin; Jon,Monopoly (SNES),Board Game,zE5zNI2_d2s,Gameplay stops before AI wins
Arin,Jon,Godzilla: Kaijuu Daikessen,Fighting,e4jhUwZpJsA,
Arin,Jon,Godzilla: Kaijuu Daikessen,Fighting,e4jhUwZpJsA,
Arin,Jon,Godzilla: Kaijuu Daikessen,Fighting,e4jhUwZpJsA,
Jon,Arin,Mighty Morphin' Power Rangers: The Fighting Edition,Fighting,4U7qxEFf-D4,
Jon,Arin,Mighty Morphin' Power Rangers: The Fighting Edition,Fighting,4U7qxEFf-D4,
Arin,Jon,Mighty Morphin' Power Rangers: The Fighting Edition,Fighting,4U7qxEFf-D4,
Arin,Jon,Mighty Morphin' Power Rangers: The Fighting Edition,Fighting,4U7qxEFf-D4,
Jon,Arin,Godzilla: Destroy All Monsters Melee,Fighting,ZhZH84hoNB4,Jon is player 1
Jon,Arin,Godzilla: Destroy All Monsters Melee,Fighting,ZhZH84hoNB4,
Arin,Jon,Godzilla: Destroy All Monsters Melee,Fighting,q3u32Jp9mJ8,Arin is player 1
Jon,Arin,Godzilla: Destroy All Monsters Melee,Fighting,q3u32Jp9mJ8,
Arin,Jon,Godzilla: Destroy All Monsters Melee,Fighting,q3u32Jp9mJ8,
Arin,Jon,NBA Jam,Sports,7ldDv04lGOs,
Jon,Arin,NBA Jam,Sports,7ldDv04lGOs,Video ends before game; but Jon is ahead
Jon,Arin,Bill Laimbeer's Combat Basketball,Sports,3zgzCIJHPJ4,
Arin,Jon,Chivalry: Medieval Warfare,,xHxUerhIPAo,
Arin,Jon,Chivalry: Medieval Warfare,,xHxUerhIPAo,
Jon,Arin,Chivalry: Medieval Warfare,,xHxUerhIPAo,
Jon,Arin,Chivalry: Medieval Warfare,,xHxUerhIPAo,
Jon,Arin,Chivalry: Medieval Warfare,,xHxUerhIPAo,
Arin,Jon; AI,The Price is Right,Gameshow,ylisULQJlJw,Episode ends before winner is delcared; but Arin is far ahead
Jon,Arin,BattleTanx: Global Assault,,PfpqId3Zc10,
Arin,Jon,Space Jam,Sports,OYGcQW0hPYA,Grumps stop at halftime
Jon,Arin,Weaponlord,Fighting,hkI85LHoQIA,
Jon,Arin,Weaponlord,Fighting,hkI85LHoQIA,
Arin,Jon,Weaponlord,Fighting,hkI85LHoQIA,
Jon,Arin,Weaponlord,Fighting,hkI85LHoQIA,
Jon,Arin,Ultimate Muscle: Legends vs. New Generation,Fighting,_-HWHLObocg,
Jon,Arin,Ultimate Muscle: Legends vs. New Generation,Fighting,_-HWHLObocg,
Arin,Jon,Castlevania Judgment,Fighting,-q2JXirzA8k,Arin is player 2
Jon,Arin,Castlevania Judgment,Fighting,-q2JXirzA8k,
Arin,Jon,Castlevania Judgment,Fighting,-q2JXirzA8k,
Jon,Arin,Castlevania Judgment,Fighting,-q2JXirzA8k,
Jon,Arin,Castlevania Judgment,Fighting,-q2JXirzA8k,
Arin,Jon,Rakugakids,Fighting,cz-bUv8AqxA,Jon is player 1
Arin,Jon,Rakugakids,Fighting,cz-bUv8AqxA,
Jon,Arin,Rakugakids,Fighting,cz-bUv8AqxA,
Jon,Arin,Super Bomberman 2,Arcade,mwOv3B0gQo4,
Arin,Jon,Super Bomberman 2,Arcade,mwOv3B0gQo4,
Jon,Arin,SoulCalibur II,Fighting,Pu72K46j69A,Jon is player 2
Arin,Jon,SoulCalibur II,Fighting,Pu72K46j69A,
Arin,Jon,SoulCalibur II,Fighting,Pu72K46j69A,
Jon,Arin,SoulCalibur II,Fighting,Pu72K46j69A,
Arin,Jon,SoulCalibur II,Fighting,Pu72K46j69A,
Arin,Jon,SoulCalibur II,Fighting,Pu72K46j69A,
Jon,Arin,SoulCalibur II,Fighting,Pu72K46j69A,
Jon,Arin,SoulCalibur II,Fighting,Pu72K46j69A,
Arin,Jon,SoulCalibur II,Fighting,Pu72K46j69A,
Arin,Jon,Arcana Heart,Fighting,webTlt1a338,
Arin,Jon,Arcana Heart,Fighting,webTlt1a338,
Arin,Jon,Arcana Heart,Fighting,webTlt1a338,
AI (Jon),Jon; Arin,Cel Damage,,XLnWFgX1-2Q,
AI (Arin),Arin; Jon,Cel Damage,,XLnWFgX1-2Q,
Jon,Arin,Puyo Pop Fever,Puzzle,_MIMm3OCZXA,Jon is player 2
Jon,Arin,Puyo Pop Fever,Puzzle,_MIMm3OCZXA,
Arin,Jon,Puyo Pop Fever,Puzzle,_MIMm3OCZXA,
Jon,Arin,Puyo Pop Fever,Puzzle,_MIMm3OCZXA,
Arin,Jon,Puyo Pop Fever,Puzzle,_MIMm3OCZXA,
Arin,Jon,World Driver Championship,Racing,DH8bqNsIw30,
AI (Danny),Danny; Arin,Wheel of Fortune: Junior Edition,Gameshow,vPzRb5B4VjU,Timbo the AI wins
Arin,Danny; AI,Wheel of Fortune: Junior Edition,Gameshow,vauyHs-IpEE,Suop wins
Arin,Danny,Family Feud: Decades,Trivia; Gameshow,ekzg3w8UfZ4,
Arin,Danny,Family Feud: Decades,Trivia; Gameshow,7lJdAlW82X8,
Danny,Arin; AI,Wheel of Fortune (PlayStation 2),Gameshow,FZ5EbNticcY,
Arin,Danny; AI,Wheel of Fortune (PlayStation 2),Gameshow,Qq361pejup4,
